date,posts,likes,shares,comments,haha,wow,sad,angry,love,photo,video,like_mention,share_mention,comment_mention,any_mention,supporters,recruits,T_intl_solidarity,T_motivational,T_regions,T_protests,T_terrorism_middle_east,T_criticism_politicians,T_military,T_crime,T_online_promotion,T_trump,T_bible,T_criticism_Facebook,T_elections,T_immigration,T_brexit,T_misc_news,T_email_promotion,T_terrorism_europe,T_islam_sex,T_refugees,T_self_promotion,T_islam_videos,T_leadership,T_media_and_aid,T_merchandise,T_UKIP_misc,T_islam_general,T_terrorism_general,T_islam_sharia,T_misc_values,M_motivational,M_promotional,M_repression,M_islam,M_terrorism,M_politics,M_immigration,issue_total,instrumental_total,main_total,media,elections,attacks,protests,actions,post_brexit,elections.lead,elections.lag,protests.lead,protests.lag,attacks.lag,actions.lag,cox_murder,cox_murder.lag
2016-03-08,324,268463,153737,58513,4997,1847,1517,19165,4802,54,7,18,7,1,19,73772,11228,1.9478687529462837,2.859918727296576,2.7823094536041966,2.6234668720401024,5.40300501814063,4.478210134464586,3.3976091414921283,3.5323890125391983,1.2665497267288266,3.2883990146008917,6.594900911033538,1.4669537073255583,2.8431879043993096,3.682241030788471,1.4010035393773261,3.1705580500775126,0.3288645474608039,5.097851685922248,4.433146835390056,4.897076230008369,3.943461317541651,4.65650604936423,2.554686064568672,3.911110574233149,4.64437567352735,2.146186235232229,3.1971709400601878,3.077642129378437,4.703417619733072,1.6699331007244116,8.751248797784509,6.2397899477169805,4.02163977189423,16.990241444547546,13.578498833441314,8.277773154232431,8.57931726079684,54.35582884704946,21.636145389435825,75.99197423648528,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-03-15,359,370067,276176,61881,5147,1476,1729,20565,5828,72,1,8,3,0,11,95706,17166,1.9103391385332795,2.634296909901287,2.4525701901117984,2.7572352874135264,6.115063533189717,4.28169371384605,3.2920906171777875,4.304176802561733,1.6803800920997938,3.0805790126248804,6.597865413965296,1.557069000405395,2.9075646819148817,3.3567005235550487,1.3192615827762622,2.915740025874427,0.472078287704065,5.846269249435048,4.500841629641818,5.834996133446169,4.0262493580593635,4.348753247690413,3.0073736149126704,3.759995880529988,4.5345839495262785,2.1065959088925075,2.9201682479658784,2.733088816319706,3.1723073564237354,1.574071793501192,8.570885406493929,6.687042329330136,4.5644426153180655,14.942070481721844,14.694421598944471,8.09473960343227,9.191696657001218,54.519195760839324,22.57960563855566,77.09880139939499,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,358,369477,366607,77991,3958,1968,8301,33996,6568,62,3,1,2,1,4,109921,22957,1.8184579650184423,2.491438169776649,2.6512569935570776,2.657159635088652,6.611470416138612,3.4617968671717887,3.5991222322195946,5.026067345809918,1.0520268341868473,3.2857009959893033,6.941788874944361,1.6307093154438748,2.376044767053758,3.1578034581379795,1.3832740358972195,2.8174995711876547,0.44047891837159625,8.828265951526461,3.871107788418001,4.076103967776209,4.280731292892444,4.536715270321672,3.2324223553159013,2.9362572669416815,4.215915324352708,1.922917388303929,2.872337374754326,3.118019595814852,3.172234087018741,1.5348759405697405,8.590627427687535,5.708421076911152,4.863131670759776,14.45239452051274,18.557755963479924,7.58466315134699,7.23390742591419,56.45391063928336,21.819339810447115,78.27325044973047,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,326,290992,225630,62979,7766,1411,2512,25400,5466,69,1,2,0,0,2,80036,9793,1.8696231406290398,2.641174765739327,2.528127349296804,3.5049430149424228,6.891806524735232,3.4464688489105133,3.5381963617419925,4.369360827062804,0.9419584558249925,3.1223492964151176,6.621055565046781,1.6147987607982786,2.592339736406591,2.865731120273983,1.7270194959291794,2.8793645612040892,0.4740754950653323,6.258625911268005,3.8172136095538276,4.7192581758868615,4.605731956380737,4.701397643072682,3.788938470795574,3.3951212041145,4.485350843836578,1.9229255160153274,2.835541829897619,3.0649545696766913,3.2344280758820463,1.5421188735970688,9.116529862749104,5.901384794726903,5.403737231593853,14.588581158406175,16.21538700567993,7.637614548837036,7.584989296160844,53.93412919788878,23.926594904012283,77.86072410190106,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-04-05,320,307802,179551,56728,5432,1670,2143,27554,6286,92,10,2,2,0,3,76952,9727,1.8688967008625557,2.7766155785729967,2.9397338597167684,3.9403806571639666,4.4694759903422785,4.273620641263419,2.888021499297134,3.759223515073772,1.1360174576776418,3.1333712725139824,6.275474660270505,1.6934669858739937,2.7872215261260664,3.0362835000261135,2.10367800550933,2.756370539054475,0.35491927763679143,4.920692631650469,4.125349754741815,4.960959125097358,5.753286088823264,4.983329414352908,4.157389757797813,3.439672573587174,4.650994643726502,2.0252603712199995,2.8820930610994435,2.5744180427507586,3.7870729364750275,1.5467099316956763,10.398798368258817,6.141931379040935,5.850856743671806,15.777845166669193,11.964586664743507,7.945853169860048,7.997242625123471,50.33277264076713,26.331967148135526,76.66473978890265,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,331,324193,176615,61624,8363,1762,1615,23301,8296,98,7,1,0,0,1,81098,9587,1.8978836052394483,2.6426499149749985,4.331177680098032,4.780123738786738,4.2142652037694885,3.9024141323888086,3.0193547574011292,3.6974429591912585,1.1593024514908827,3.06678286566835,5.627909332678455,1.7385350786558638,2.866003131850183,2.7703392146990504,1.9823217407896079,2.7418538802577697,0.634319444192058,4.795573274351592,4.016979970426748,4.738383691190434,5.978250814157719,4.968134769760562,2.7646395951263605,4.031846613232854,4.093010249634698,1.9679252006619903,2.8524094040679673,3.0223679684283864,4.133307936585523,1.5644913802430387,10.518784334372167,5.88663214531764,4.503174673782224,15.970832080840802,12.032206446549466,7.900711198180523,7.508722905889484,50.12927034805267,25.68871489225877,75.81798524031143,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,311,263616,181824,68613,8127,2325,2080,30906,7072,89,17,4,2,0,6,80765,12138,1.9890972477467623,2.837192261089939,2.872546154646883,3.262489114901627,4.463853954325229,4.825471275572944,3.2707666650676446,3.010264849440973,1.0330013734364991,3.4797673291360867,7.030312232178234,1.4860368074648789,2.9372818597290298,3.7634112065855865,2.551654654710187,2.997486912223836,0.4452727794253662,4.755929213147944,3.7358807637109215,4.723796554500351,4.510604011436697,4.819138570472929,2.553461671257336,4.2602942581861685,4.341557242340997,2.191443532778171,3.5503159087795,2.854676116110864,3.7110282726541515,1.7359672069422671,9.336893520273398,5.819831395202861,4.039498478722215,15.816363515617502,12.074459283584037,8.608492721643286,8.487207761085937,51.26755479643938,22.458712509100103,73.72626730553948,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,314,279005,196728,61759,7251,1863,2428,29953,7119,87,40,4,0,0,4,75828,11460,2.007676386787589,2.588301005490364,2.930793846649347,3.086894486639704,5.140083141279661,4.875449552839087,3.1564197865046606,3.4788131694344053,1.0117043285314928,3.625796115105225,5.713587912531256,1.6525029819813648,2.9293998118958346,3.3349672262618038,2.7084619043911573,2.949189257412487,0.343357583096496,5.181637537063654,4.2262163193464035,4.928943909730248,4.242324554337264,5.551007629336608,2.671259791922935,4.002097833090593,4.022276984061959,2.041645330708934,3.002583554509268,2.9945949590827543,3.9582682945260266,1.6437448054514185,8.838301946615218,5.377338895689947,4.323762773904299,16.738075797718306,13.316315637426069,8.596841257709993,8.263911135992052,53.55037678478549,21.626298102849166,75.17667488763465,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-05-03,337,252018,241184,81765,8319,1927,6178,38875,6341,125,20,4,1,1,6,74138,13619,1.684018693748447,2.383143614754072,4.323259650745117,4.804747738602717,5.007116122206851,3.4625743287049198,2.97891731187859,3.1915721749822543,1.2664574329839444,3.217230815404739,6.011105397875886,1.5920721695146005,2.9645752657967135,2.7491263421537226,3.037143658959943,2.4895698828500756,0.38094583775413,4.81666867903955,4.204501758348013,2.8251455271173747,7.467231495270061,4.657444543725892,2.89804616033721,2.9848592800425515,4.94757816170328,1.8950467136151636,2.9511989614433696,3.43222264267965,3.9452759653327236,1.431203672428439,11.53439380377258,6.5949814324413545,4.490118329851811,15.75842122885,13.256007443926052,8.076852794816617,5.574271869271097,48.836042823724604,27.424241304668463,76.26028412839307,16,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-10,344,287762,278347,67995,11457,2258,7142,41345,5758,106,18,3,0,0,3,82003,15987,1.7900361877807407,2.8836961647373682,3.3756755501351243,3.3515559189406874,5.408685676954157,3.7601247114983876,3.3940797047590725,3.3185022887658553,1.1489359978234688,2.806443699692917,7.540880048084225,1.6631591693084067,2.5704691947174583,2.9853118054561167,1.562813605894873,2.840750414841661,0.6194088132690526,6.042019008760258,4.4835361693805575,3.621731700678801,5.524276661610893,4.587484829014965,2.4135316762421493,3.3117102693099745,5.551321515897696,2.0142669464728686,2.972292349622654,3.089386484917836,3.7723909528346478,1.5955224825971275,10.198009014129001,7.319666326990217,4.076690845550556,15.815704300852824,14.54009117063225,7.391179840883244,6.607043506134917,51.06660081202816,24.945922105610464,76.01252291763862,6,0,0,0,0,0,0,1,0,0,0,0,0,0
